Questions,Difficulty Level,Bloom's Taxonomy,Category,Sub Category
what is the largest county in size in massachusetts,Easy,Remembering,Location,Other
what is the name of the brilliant british economist behind its creation,Easy,Remembering,Human,Individual
who played sally rogers on the dick van dyke show,Medium,Remembering,Human,Individual
what is it like to experience a near death episode,Easy,Remembering,Description,Description
what mythical figure carries an hourglass and a scythe,Medium,Understanding,Human,Individual
how much is a canadian      twenty dollar gold coin worth,Easy,Remembering,Numeric,Money
why didn  t european colonial rule spread until after the first and second industrial revolutions,Medium,Understanding,Description,Reason
what natural attractions draw the most visitors in the united states,Medium,Understanding,Location,Other
what presidential administration challenged americans to explore the new frontier,Medium,Creating,Human,Groups
how many years did sleeping beauty sleep,Hard,Understanding,Numeric,Count
how long does it take for your body to restore blood after you donate your blood,Medium,Creating,Numeric,Period of time
how do i know someone is truly in love with me,Hard,Understanding,Description,Manner
which of many numbered vats of scotch was judged best by a panel of experts in     ,Medium,Understanding,Entity,Food
what is literary criticism,Easy,Remembering,Description,Definition
how do you throw a housewarming party,Medium,Understanding,Description,Manner
what international sport was originally called hurley,Medium,Understanding,Entity,Sport
what river runs through liverpool,Medium,Understanding,Location,Other
what famous british actor lost his voice after an operation in     ,Medium,Understanding,Human,Individual
what does the term   mean to a newspaper editor,Medium,Understanding,Description,Definition
what company makes impulse hardening equipment,Medium,Understanding,Human,Groups
what country was kim philby really working for,Medium,Understanding,Location,Country
what does freddy freeman say to become captain marvel jr ,Hard,Understanding,Description,Description
what country was hitler the chancellor of,Medium,Understanding,Location,Country
what is rona barrett  s married name,Easy,Remembering,Human,Individual
how many years make up a lustrum,Hard,Understanding,Numeric,Count
what are close encounters of the first and second kind,Medium,Understanding,Entity,Other
who is the mathematician that won the noble prize for literature in     ,Easy,Remembering,Human,Individual
which glamorous actress is a close friend of dick tracy,Easy,Remembering,Human,Individual
what      grace metalious novel was on the best seller list for two years,Medium,Understanding,Entity,"Currency, monetary value, or gem"
name the three races unleashed by the celestials in marvel comics  ,Medium,Remembering,Human,Groups
how old is the italian artist maurizio pellegrin,Easy,Remembering,Numeric,Period of time
what president hit the jogging paths to enhance his athletic image and   sporting no       almost collapsed during the road race,Medium,Understanding,Human,Individual
what is the distinction of erle stanley gardner  s the case of the terrified typist,Easy,Remembering,Description,Description
what north american city would you visit to see cleopatra  s needle,Medium,Creating,Location,City
when was the nfl established,Hard,Analyzing,Numeric,Date
where can i find an ask an expert site,Medium,Creating,Location,Other
what writer journalist made his mark describing colorful broadway and underworld characters,Medium,Understanding,Human,Individual
what u s  state has the lowest highest elevation at   feet,Medium,Remembering,Location,State or province
what are the residents of the island of lesbos called,Medium,Understanding,Human,Groups
what is the organizational structure of the new delhi indira gandhi airport,Easy,Remembering,Entity,Other
at christmas time   what is the traditional thing to do under the mistletoe,Easy,Remembering,Entity,Other
what baseball great plugged mr  coffee,Medium,Understanding,Human,Individual
what international amateur sports spectacle was first telecast in     ,Medium,Understanding,Entity,Sport
what is the origin of the word    amen   ,Easy,Remembering,Description,Description
who  s baby was sweet pea on the popeye cartoon,Easy,Remembering,Human,Individual
where is mile high stadium,Easy,Remembering,Location,Other
what were baffin   frobisher and franklin looking for,Medium,Creating,Entity,Other
what is limbo,Easy,Remembering,Description,Definition
what city contains the district of hell  s kitchen,Medium,Understanding,Location,City
what interesting method was used to run the credits in the early popeye cartoons,Hard,Understanding,Entity,Technology or method
what are the stars made of,Medium,Understanding,Entity,Substance
what english physician was born on january           and went on to create two important inventions,Medium,Creating,Human,Individual
who did arthur h  bremer try to assassinate on may          ,Easy,Remembering,Human,Individual
how fast must a spacecraft travel to escape earth  s gravity,Medium,Understanding,Numeric,Speed
what apostle is taylor caldwell  s great lion of god,Easy,Remembering,Human,Individual
how many rings are there on a five zone archery target,Medium,Understanding,Numeric,Count
what anesthetic did queen victoria allow to be used for the birth of her seventh child   in     ,Medium,Creating,Entity,Disease or medical condition
what element   from the periodic table   is a gas or a solid   but never a liquid,Medium,Remembering,Entity,Substance
what is a tonne,Easy,Remembering,Description,Definition
which one of the great lakes is entirely within u s  territory,Medium,Remembering,Location,Other
what is deet,Easy,Remembering,Abbreviation,Expression
what company sells the most greeting cards,Medium,Understanding,Human,Groups
what u s  state has sagebrush as its state flower,Medium,Understanding,Location,State or province
what is the bernoulli principle,Easy,Remembering,Description,Definition
what  s comic strip photographer peter parker  s secret identity,Medium,Understanding,Human,Individual
what is difference between a poster and a print,Easy,Remembering,Description,Description
in which sport is there a    scrum   ,Easy,Remembering,Entity,Sport
what are the best ways to improve employee morale at low cost,Medium,Understanding,Entity,Technology or method
what nationality is pope john paul ii,Easy,Remembering,Location,Country
what is false consciousness,Easy,Remembering,Description,Definition
how did the great depression affect japan  s history,Medium,Understanding,Description,Manner
which side should a bowler facing a       split hit the   pin on the left or the right,Medium,Understanding,Entity,Other
where are some great educational resources for parents and teachers,Medium,Understanding,Location,Other
how many israeli athletes were killed at the munich olympics,Medium,Understanding,Numeric,Count
what is the scotch    for people who know the difference   ,Easy,Remembering,Entity,Term or equation
when was richard nixon born,Medium,Understanding,Numeric,Date
what new york city landmark has     steps to its crown,Medium,Creating,Location,Other
where is the bulls basketball team based,Easy,Remembering,Location,Other
what is the recomended age to switch a child from a crib to a bed,Easy,Remembering,Numeric,Period of time
which rockefeller was sometimes called    jdr    ,Medium,Understanding,Human,Individual
when is the sun closest to the earth,Easy,Remembering,Numeric,Date
what are some chemical properties of mendelevium,Medium,Understanding,Description,Description
what is the average hours per months spent online by aol users,Easy,Remembering,Numeric,Count
whom did friz freleng add to the warner bros  cartoon ranks,Hard,Analyzing,Human,Individual
what is the origin of the word    sideburns   ,Easy,Remembering,Description,Description
the trials resulting from world war ii are known as what,Medium,Understanding,Entity,Event
what started in      when gold was discovered at sutter  s mill,Medium,Remembering,Entity,Event
what is a first world country,Easy,Remembering,Description,Definition
who was shakespeare  s moorish general,Easy,Remembering,Human,Individual
what  s the second highest mountain in the world,Easy,Remembering,Location,Mountain
what country was erich honecker the leader of,Medium,Understanding,Location,Country
how does salt melt ice and snow,Hard,Understanding,Description,Manner
what two japanese cities are spelled with the letters k   o   o   t and y,Medium,Understanding,Location,City
what does laser stand for,Hard,Understanding,Description,Definition
who taught matt murdock to use his extraordinary abilities in marvel comics,Easy,Remembering,Human,Individual
where did wile e  coyote always get his devices,Medium,Understanding,Location,Other
how far away is the moon,Easy,Remembering,Numeric,Distance
what famous film and tv cowboy lent his name to a fast food chain,Medium,Remembering,Human,Individual
what is mandibulofacial dysostosis,Easy,Remembering,Description,Definition
what was the reason for the partition of the anglican and vatican churches,Hard,Understanding,Description,Reason
what is butterfield   in butterfield  ,Easy,Remembering,Description,Definition
who famously rode to warn the people of massachusetts that the british were coming,Easy,Remembering,Human,Individual
what is dtmf,Easy,Remembering,Abbreviation,Expression
name a movie that the actress   sandra bullock   had a role in  ,Hard,Remembering,Entity,"Currency, monetary value, or gem"
what blew up at lakehurst   new jersey   on may         ,Medium,Understanding,Entity,Other
who commanded the french forces at the battle of orleans,Medium,Remembering,Human,Individual
where can an individual get a contact lens tested that burned the entire surface of eye when new,Hard,Creating,Location,Other
what countries does the mont blanc tunnel join,Hard,Understanding,Location,Country
what ill fated craft was captained by ernst lehmann,Medium,Understanding,Entity,Vehicle
when did amtrak begin operations,Medium,Understanding,Numeric,Date
how many bones are in the human hand,Hard,Understanding,Numeric,Count
how many chemical elements are there,Medium,Understanding,Numeric,Count
what eastern state sprouted the first commercial nuclear power plant in the u s ,Medium,Understanding,Location,State or province
what are the three most populated countries in the world,Medium,Understanding,Location,Country
who led the opposition when konrad adenauer was chancellor in germany,Easy,Remembering,Human,Individual
what is the current population for these countries   france   spain   italy   greece   austria   germany   switzerland   the netherlands,Easy,Remembering,Numeric,Count
what is the youngest age a boy or girl can have an orgasm,Easy,Remembering,Numeric,Period of time
what color is the lipstick on boy george  s wax lips at london  s madame tussaud  s,Easy,Remembering,Entity,Color
what is the origin of the candy cane at christmas,Easy,Remembering,Description,Description
what is the brand name of a chemical used to control ripening,Easy,Remembering,Entity,Product
what terror of the sea did johnny horton sing about,Medium,Understanding,Entity,Animal
what is the largest office block in the world,Easy,Remembering,Location,Other
who turned all he touched to gold,Easy,Remembering,Human,Individual
what is the medical term for cancer of the blood,Easy,Remembering,Entity,Disease or medical condition
who plays shortstop for charlie brown  s baseball team,Easy,Remembering,Human,Individual
what country did the romans call hibernia,Medium,Understanding,Location,Country
who was the most famous food editor of the new york times,Medium,Remembering,Human,Individual
how many dogs pull a sled in the iditarod,Hard,Understanding,Numeric,Count
what  s a male witch called,Medium,Understanding,Entity,Term or equation
how long does cocaine stay in your system,Hard,Understanding,Numeric,Period of time
what two countries fought the hundred years   war,Medium,Understanding,Location,Country
who was the last u s  president to reinstate selective service registration,Easy,Remembering,Human,Individual
on which dates does the running of the bulls occur in pamplona   spain,Hard,Understanding,Numeric,Date
what was the name of the lawyer who represented randy steven craft,Medium,Remembering,Human,Individual
what happens to used motor oil,Medium,Understanding,Description,Description
what is the most commonly used   letter word in the english language,Easy,Remembering,Entity,Word
what actress  s autobiography is titled shelley   also known as shirley,Easy,Remembering,Human,Individual
how many colors was the     s collectible called a donald duck rubber boat,Hard,Understanding,Numeric,Count
how did the  th inning stretch get started,Hard,Understanding,Description,Manner
who lived on the shores of the gitchee gumee river,Medium,Remembering,Human,Individual
what did tristan come back as,Medium,Understanding,Entity,Other
what country will hit the year   first,Medium,Understanding,Location,Country
what colors make up a rainbow,Medium,Remembering,Entity,Color
what war did johnny reb and billy yank fight,Medium,Understanding,Entity,Event
who is section manager for guidance and control systems at jpl,Easy,Remembering,Human,Individual
what is goldfinger  s first name,Easy,Remembering,Human,Individual
what square is the geographical center of london,Easy,Remembering,Location,Other
which of the following famous people does not paint as a hobby,Medium,Understanding,Human,Individual
what is the most populated city in the world,Easy,Remembering,Location,City
how many pitchers occupy the shelf beside the crouching woman in edgar degas  s      painting the tub,Medium,Understanding,Numeric,Count
what is the cost of the drugs used in tuberculosis treatments,Easy,Remembering,Numeric,Money
what does jessica mean,Medium,Understanding,Abbreviation,Expression
what famed gangland slaughter cut into the membership of bugs moran  s outfit,Medium,Understanding,Entity,Event
ray charles is best known for playing what instrument,Easy,Remembering,Entity,Instrument
where did victor hugo spend his exile,Medium,Understanding,Location,Other
what was nine tailors   the television show from        about,Medium,Understanding,Description,Description
how does the elongated man know a mystery is afoot,Hard,Understanding,Description,Manner
what food of the three bears did goldilocks eat,Medium,Remembering,Entity,Food
what is boston kreme,Easy,Remembering,Description,Definition
who should i call to get a tour of the new york stock exchange,Medium,Remembering,Human,Individual
how many airline schools are there in the u s ,Medium,Understanding,Numeric,Count
what u s  general died december            when his jeep collided with a truck,Medium,Understanding,Human,Individual
what is a swatch,Easy,Remembering,Description,Definition
what does ouija mean,Medium,Understanding,Description,Definition
how many major nazi leaders went on trial after the war at nuremberg,Medium,Understanding,Numeric,Count
what kind of fish is a coney,Easy,Remembering,Entity,Animal
what state did helen keller call home,Medium,Understanding,Location,State or province
what was the name of the director of the movie    jaws   ,Medium,Remembering,Human,Individual
what steps can be taken to prevent diabetes,Medium,Creating,Description,Description
what were the first words spoken on a film sound track,Medium,Understanding,Description,Description
what year is etched on the gold medal of excellence from the paris exposition depicted on a can of campbell  s tomato soup,Medium,Understanding,Numeric,Date
what country  s royal house is bourbon parma,Easy,Remembering,Location,Country
what film was jude law in,Medium,Understanding,Entity,"Currency, monetary value, or gem"
who portrayed w c  fields in the film w c  fields and me,Medium,Understanding,Human,Individual
what were the ceremony traditions like during the elizabethian times,Medium,Understanding,Entity,Other
which college did dikembe mutombo play basketball at,Medium,Remembering,Human,Groups
what is a fear of going to bed,Easy,Remembering,Entity,Disease or medical condition
where did the saying    rule of thumb    come from,Medium,Understanding,Description,Description
why does sound travel quicker through water than air,Medium,Understanding,Description,Reason
how much money does the sultan of brunei have,Hard,Understanding,Numeric,Money
what country would you visit to ski in the dolomites,Medium,Creating,Location,Country
what month  s third weekend is the monterey jazz festival held on,Easy,Remembering,Numeric,Date
what is the    global economy   ,Easy,Remembering,Description,Definition
who built the first successful stern wheel steamboat,Easy,Remembering,Human,Individual
what is a caul,Easy,Remembering,Description,Definition
who was hitler  s minister of propaganda,Easy,Remembering,Human,Individual
who was the first doctor to successfully transplant a liver,Easy,Remembering,Human,Individual
what does the theory of quantum leaps mean in simpler terms,Medium,Understanding,Description,Definition
what is a bone marrow transplant,Easy,Remembering,Description,Definition
what is the difference between a classical and an acoustic guitar,Easy,Remembering,Description,Description
what african capital is named for a u s  president,Easy,Remembering,Location,City
what is the name of a language spoken by the sioux,Easy,Remembering,Entity,Language
what mediterranean island is home to the first club med,Easy,Remembering,Location,Other
what does an edentulous smile lack,Medium,Creating,Entity,Other
what is a fear of jealousy,Easy,Remembering,Entity,Disease or medical condition
where can you find the venus flytrap,Medium,Understanding,Location,Other
what is the largest sculpture in the world,Easy,Remembering,Entity,"Currency, monetary value, or gem"
when was john d  rockefeller born,Medium,Understanding,Numeric,Date
what building built in    contains     miles of book shelves,Medium,Understanding,Location,Other
what is home banking,Easy,Remembering,Description,Definition
what william makepeace thackeray novel was made into a film by stanley kubrick,Medium,Understanding,Entity,"Currency, monetary value, or gem"
who was the lawyer for randy steven craft,Easy,Remembering,Human,Individual
how do hermit crabs reproduce,Hard,Understanding,Description,Manner
who is reputed to be the greatest maker of violins,Easy,Remembering,Human,Individual
how do you stop junk snail mail,Medium,Understanding,Description,Manner
what future soviet dictator was training to be a priest when he got turned on to marxism,Medium,Creating,Human,Individual
how long does james bond like his eggs boiled,Hard,Understanding,Numeric,Period of time
what u s  city  s skyline boasts the gateway arch,Easy,Remembering,Location,City
where is belize located,Easy,Remembering,Location,Other
what  s the common name for a japanese dwarf tree,Medium,Remembering,Entity,Term or equation
what did thomas paine write,Medium,Understanding,Entity,"Currency, monetary value, or gem"
who sued the dannon yougurt company for using a character named ron raider for promotion,Easy,Remembering,Human,Individual
who was the first jockey to ride two triple crown winners,Easy,Remembering,Human,Individual
what lewis carroll book introduced humpty dumpty to the world,Hard,Remembering,Entity,"Currency, monetary value, or gem"
who wrote brave new world,Easy,Remembering,Human,Individual
what state does charles robb represent,Medium,Understanding,Location,State or province
what is hydroelectricity,Easy,Remembering,Description,Definition
how many people are taller than   feet,Medium,Understanding,Numeric,Count
who wrote unsafe at any speed,Easy,Remembering,Human,Individual
how many islands make up antigua,Hard,Understanding,Numeric,Count
how does an abacus work,Hard,Understanding,Description,Manner
what causes rust,Medium,Understanding,Description,Reason
what is the fear of the computer called,Easy,Remembering,Entity,Disease or medical condition
what is a technique popularly used to detect birth defects,Easy,Remembering,Entity,Technology or method
what u s  state boasts stone mountain   the world  s largest mass of exposed granite,Easy,Remembering,Location,State or province
what british commander surrendered to george washington at yorktown in     ,Medium,Understanding,Human,Individual
what according to the kinsey institute   is the sexual preference of four percent of american males,Easy,Remembering,Description,Description
who created the world wide web   www,Easy,Remembering,Human,Individual
what is the procedure called for drilling a hole in your skull to acheive a higher consciousness,Easy,Remembering,Entity,Technology or method
what is the name of the president of garmat u s a,Easy,Remembering,Human,Individual
what was the name of the television show   starring karl madsen   that had san francisco in the title,Medium,Remembering,Entity,"Currency, monetary value, or gem"
who were leaders of the byzantine empire,Medium,Remembering,Human,Individual
who was the first president to appoint a woman to head a cabinet,Easy,Remembering,Human,Individual
what is splatterpunk,Easy,Remembering,Description,Definition
what is the orgin of xoxoxox,Easy,Remembering,Description,Description
who built the first pyramid,Easy,Remembering,Human,Groups
what southeast asian country has the wang river joining the ping river at tak,Medium,Remembering,Location,Country
what italian city of     were leonardo da vinci   michaelangelo   and machiavelli all working in,Medium,Understanding,Location,City
what color tennis balls are used at wimbledon,Medium,Understanding,Entity,Color
what is a   sided object called,Easy,Remembering,Entity,Term or equation
name a french fascist party  ,Medium,Remembering,Human,Groups
name the french historical period during the reign of napoleon iii  ,Medium,Remembering,Entity,Event
what movie has made the most money,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what is time,Easy,Remembering,Description,Definition
how many states have a lottery,Medium,Understanding,Numeric,Count
what is the name of the largest city in chile   south america,Easy,Remembering,Location,City
what are you caught in if a haboob blows up,Medium,Understanding,Entity,Other
what ratio of children of ages between two and eleven watch   the simpsons  ,Medium,Understanding,Numeric,Percentage
how many cities are there in utah,Hard,Understanding,Numeric,Count
what famous meat company went out of business because it became known that the underworld had been selling them kangaroo meat,Medium,Understanding,Human,Groups
how many visitors go to the vatican each year,Hard,Analyzing,Numeric,Count
what is the population of mexico,Easy,Remembering,Numeric,Other
how do you get silly putty out of fabric,Medium,Understanding,Description,Manner
what is the best online games site,Easy,Remembering,Location,Other
why is the word    abbreviation    so long,Easy,Remembering,Description,Reason
what century did art  s romantic period begin in,Medium,Understanding,Numeric,Date
how many spaces follow a period at the end of a sentence,Hard,Understanding,Numeric,Count
what is a cake of soap,Easy,Remembering,Description,Definition
in what year was the berlin wall erected,Medium,Understanding,Numeric,Date
what is the weight of a teaspoon of matter in a black hole,Easy,Remembering,Numeric,Weight
what is the approximate weight of a teaspoon of matter in a black hole,Easy,Remembering,Numeric,Weight
what does msg stand for,Hard,Understanding,Abbreviation,Expression
on what avenue is the original saks department store located,Easy,Remembering,Location,Other
where does the song anything goes take place,Hard,Understanding,Location,Other
where was the first zoo in the u s ,Hard,Understanding,Location,Other
how far is yaroslavl from moscow,Easy,Remembering,Numeric,Distance
what is april  s gemstone,Easy,Remembering,Entity,Other
what is the present pope named,Easy,Remembering,Human,Individual
who is the nebbish that is marvel  s official mascot,Easy,Remembering,Human,Individual
what powdered soft drink mix went into space,Medium,Understanding,Entity,Food
what did the chinese emperor present to the english soldier gordon in recognition of his services in quelling rebellions,Medium,Understanding,Entity,Other
what is one of the languages spoken by the sioux called,Medium,Remembering,Entity,Language
how many bytes are in a terabyte,Medium,Understanding,Numeric,Count
who sang the song    hooked on a feeling    in the dancing baby episode of    ally mcbeal   ,Easy,Remembering,Human,Individual
in what ways did ivan iv support russian expansion,Medium,Understanding,Entity,Technology or method
approximately how much does a teaspoon of matter weigh in a black hole,Medium,Understanding,Numeric,Weight
what country  s flag is field green,Easy,Remembering,Location,Country
what sport is known for hooligans,Easy,Remembering,Entity,Sport
who was the columbia pictures head who forged actor cliff robertson  s name on a $        check,Easy,Remembering,Human,Individual
who was damocles,Easy,Remembering,Human,Description
what sport was the first televised in the u s ,Hard,Understanding,Entity,Sport
name dondi  s adoptive grandfather  ,Medium,Remembering,Human,Individual
when was the congress of vienna,Medium,Understanding,Numeric,Date
what are the lyrics to    smelly cat   ,Medium,Understanding,Description,Description
how much folic acid should a pregnant woman get each day,Medium,Understanding,Numeric,Count
what year was the first automobile manufactured,Medium,Understanding,Numeric,Date
how many colonies did germany get to keep after world war i,Medium,Understanding,Numeric,Count
how many states have a    lemon law    for new automobiles,Hard,Understanding,Numeric,Count
whose biography by maurice zolotow is titled shooting star,Easy,Remembering,Human,Individual
what concerts are held in new york this week,Medium,Understanding,Entity,Event
in the movie groundshog day what is the name of the character played by andie macdowell,Easy,Remembering,Human,Individual
what are the requirements for becoming a citizen of australia,Medium,Understanding,Description,Description
how old is benny carter,Easy,Remembering,Numeric,Period of time
what are the top ten all time money making nfl teams,Medium,Understanding,Human,Groups
what were hairy bank notes in the fur trade,Medium,Understanding,Entity,Other
where can i read about chiang kai shek,Medium,Understanding,Location,Other
what is idealab  ,Easy,Remembering,Description,Definition
what country borders the most others,Medium,Understanding,Location,Country
what does the e stand for in the equation e mc ,Hard,Understanding,Abbreviation,Expression
what river runs through colorado   kansas   and oklahoma,Medium,Understanding,Location,Other
which airplane did fawaz younis hijack,Medium,Understanding,Entity,Vehicle
what is win rah,Easy,Remembering,Description,Definition
why is the moon different sizes and colors,Easy,Remembering,Description,Reason
what college enlivens hanover   new hampshire,Medium,Understanding,Human,Groups
what does vcr stand for,Hard,Understanding,Abbreviation,Expression
how close a cousin was franklin d  to theodore roosevelt,Hard,Understanding,Description,Manner
name a novel written by john steinbeck  ,Medium,Remembering,Entity,"Currency, monetary value, or gem"
who was the first american citizen awarded the albert medal of the society of arts,Medium,Understanding,Human,Individual
what doctor is synonymous with footwear and foot care,Easy,Remembering,Human,Individual
how do boats float,Hard,Understanding,Description,Manner
what are the shoe sizes of o  neal   jordan   and mutombo   the nba players,Medium,Understanding,Numeric,Other
who founded the unification church,Easy,Remembering,Human,Individual
how many zeros are there in a trillion,Medium,Understanding,Numeric,Count
what was the name of the crimean meeting of roosevelt   churchill   and stalin,Medium,Remembering,Entity,Event
what are the only players eligible to score points in roller derby called,Medium,Understanding,Human,Title
what are the statistics for drunken drivers in maryland,Medium,Understanding,Numeric,Other
what ill fated american general dragged a bull terrier named willie through world war ii,Medium,Understanding,Human,Individual
what  s the score of a forfeited baseball game,Medium,Understanding,Numeric,Other
where does tuberculosis come from,Hard,Understanding,Location,Other
who invented the lawnmower,Easy,Remembering,Human,Individual
where can i find lyrics for r&b,Hard,Creating,Location,Other
what is the name of david letterman  s dog,Easy,Remembering,Entity,Animal
what u s  senator once played basketball for the new york knicks,Hard,Creating,Human,Individual
what are the titles of some r rated sony playstation games,Medium,Understanding,Entity,Sport
what playing card symbolizes death,Medium,Understanding,Entity,Symbol
what is an urban legend,Easy,Remembering,Description,Definition
what is li  l abner  s last name,Easy,Remembering,Human,Individual
how many liberty bells have there been,Medium,Understanding,Numeric,Count
what two countries are separated by the bering strait,Medium,Understanding,Location,Country
what is smartnet,Easy,Remembering,Description,Definition
what is a synonym for aspartame,Easy,Remembering,Entity,Term or equation
jackson pollock is of what nationality,Easy,Remembering,Location,Country
what are vermicilli   rigati   zitoni   and tubetti,Medium,Understanding,Description,Definition
name the product that is    at your grocer  s   at your fingertips     ,Medium,Remembering,Entity,Product
what architect originated the glass house designed the chicago federal center had a philosophy of    less is more      and produced plans that were the forerunner of the california ranch house,Medium,Remembering,Human,Individual
how many russians have landed on the moon,Medium,Understanding,Numeric,Count
which thrilled taste buds first   snickers or   musketeers,Medium,Understanding,Entity,Food
what animal do buffalo wings come from,Medium,Understanding,Entity,Animal
what is the purpose of the sysrq key on my computer keyboard,Easy,Remembering,Description,Reason
when was franklin d  roosevelt stricken with polio,Medium,Evaluating,Numeric,Date
how do you find out what is allowed to claim as a contibution for income tax purposes,Easy,Remembering,Description,Manner
how do you build a solar car for a high school experiment,Medium,Understanding,Description,Manner
where on the internet can i get chemicals importers,Medium,Understanding,Location,Other
what was the first country to put a second woman in space,Medium,Remembering,Location,Country
what was the    disc john gabel entertainer the first example of   in     ,Medium,Understanding,Entity,Other
what is the feudal system,Easy,Remembering,Description,Definition
who shared a new york city apartment with roger maris the year he hit    home runs,Easy,Remembering,Human,Individual
what  s the geographic term for the submerged fringe of a continent,Medium,Understanding,Entity,Term or equation
what prison is found in ossining   new york,Easy,Remembering,Location,Other
what country has declared one fifth of its territory off limits to russians,Medium,Understanding,Location,Country
what is the main application of sodium hydrosulfite,Easy,Remembering,Description,Description
name the story by chris van allsburg in the which a boy tries to become a great sailor,Medium,Remembering,Entity,"Currency, monetary value, or gem"
what are the components of polyester,Medium,Understanding,Entity,Other
what product features a frog that says    dig  em   ,Medium,Creating,Entity,Product
who is the director of intergovernmental affairs for the san diego county,Easy,Remembering,Human,Individual
what hall of fame pitcher started three world series games for the new york yankees in     ,Medium,Creating,Human,Individual
what is the longest river in the united states,Easy,Remembering,Location,Other
what does the channel espn stand for,Hard,Understanding,Abbreviation,Expression
what river is windsor castle on,Easy,Remembering,Location,Other
what is the best brand for a laptop computer,Easy,Remembering,Entity,Product
where is natchitoches   louisiana,Easy,Remembering,Location,Other
what do pointed letters mean to a handwriting analyst,Medium,Understanding,Description,Definition
what political party is sinn fein a part of,Easy,Remembering,Human,Groups
what was franklin roosevelt  s program for economic recovery called during the great depression,Medium,Understanding,Entity,Event
what is the name of a greek god,Easy,Remembering,Human,Individual
what  s the capital of taiwan,Easy,Remembering,Location,City
what did englishman john hawkins begin selling to new world colonists in     ,Medium,Creating,Entity,Other
what is the starting salary for beginning lawyers,Easy,Remembering,Numeric,Money
what was the man  s name who was killed in a duel with aaron burr,Easy,Remembering,Human,Individual
what did louis cartier invent for aviator santos dumont in     ,Hard,Understanding,Entity,Other
what will the california gas tax be in the year     ,Medium,Understanding,Numeric,Money
what city is served by tempelhol airport,Easy,Remembering,Location,City
who directed the first woody woodpecker cartoon,Easy,Remembering,Human,Individual
cnn is an acronym for what,Easy,Remembering,Abbreviation,Expression
what is the origin of the name igor,Easy,Remembering,Description,Description
what was the first gilbert and sullivan opera,Hard,Understanding,Entity,"Currency, monetary value, or gem"
what two historical figures   who fought each other in a famous battle   each have a food named after them,Medium,Remembering,Human,Individual
where in the united states do people live the longest,Medium,Understanding,Location,Other
what country in      had the most suicides regardless of population size,Medium,Understanding,Location,Country
what is the price for tuberculosis drugs,Easy,Remembering,Numeric,Money
what was the first minimum wage,Medium,Understanding,Numeric,Money
what is the difference between a college and a university,Easy,Remembering,Description,Description
what substance did joseph priestley name for its ability to erase pencil marks,Medium,Remembering,Entity,Substance
what are the limits to    self defense     ,Medium,Understanding,Description,Description
how can i get my product licensed by the nba,Hard,Understanding,Description,Manner
what fast food is prepared with a    secret blend of    herbs and spices     ,Medium,Remembering,Entity,Food
what effect does a prism have on light,Medium,Understanding,Description,Description
how many people lived in nebraska in the mid     s,Hard,Understanding,Numeric,Count
what is software piracy,Easy,Remembering,Description,Definition
what year was janet jackson  s first album released,Medium,Understanding,Numeric,Date
how do you calculate the change in enthalpy of a chemical reaction,Medium,Understanding,Description,Manner
name of heroine in    scruples   ,Medium,Remembering,Human,Individual
how many movies has drew barrymore been in,Hard,Understanding,Numeric,Count
what tv character sired a horse named thunder,Medium,Understanding,Human,Individual
what are some children  s rights,Medium,Understanding,Description,Description
what is the name of the planet that the ewoks live on,Easy,Remembering,Location,Other
what baseball player was known as charley hustle,Medium,Remembering,Human,Individual
who killed lee harvey oswald,Easy,Remembering,Human,Individual
what  s the symbol for the zodiacal sign gemini,Easy,Understanding,Entity,Symbol
who was red grange,Easy,Remembering,Human,Description
what hockey team did wayne gretzky play for,Medium,Remembering,Human,Groups
what series of trials followed world war ii,Medium,Understanding,Entity,Event
what ivy league school plays its home games at palmer stadium,Medium,Understanding,Human,Groups
who invented the fax machine,Easy,Remembering,Human,Individual
how wide is the atlantic ocean,Easy,Remembering,Numeric,Distance
how is the element strontium purified,Easy,Remembering,Description,Manner
what was the eighth day following the nones in each month of the roman calendar called,Medium,Understanding,Entity,Term or equation
who wrote the poem that starts    i love your lips when they  re wet with wine and red with a warm desire   ,Easy,Remembering,Human,Individual
what singer  s theme song was when the moon comes over the mountain,Medium,Understanding,Human,Individual
how did peabody and sherman travel through time,Hard,Understanding,Description,Manner
who was santos dumont,Easy,Remembering,Human,Description
how many meters are in a mile,Medium,Understanding,Numeric,Count
what is a fear of money,Easy,Remembering,Entity,Disease or medical condition
about how many soldiers died in world war ii,Medium,Understanding,Numeric,Count
who is rocky  s and bullwinkle  s ever lost friend,Easy,Remembering,Human,Individual
who is robin williams,Easy,Remembering,Human,Description
who thought he  d never see a poem lovely as a tree,Easy,Remembering,Human,Individual
who created    the muppets   ,Easy,Remembering,Human,Individual
how do you make dumplings,Medium,Understanding,Description,Manner
what celestial body has a diameter of           miles,Medium,Understanding,Location,Other
the operating system that runs on ibm compatible machines is called what,Medium,Understanding,Entity,Term or equation
what was the ventura county police department that seized the county  s largest amount of cocaine ever,Easy,Understanding,Human,Groups
what is the name of the family circus  s dog,Easy,Remembering,Entity,Animal
what did martin luther post on the church door at wittenberg,Medium,Understanding,Entity,Other
what is the meaning of the name kathryn,Easy,Remembering,Description,Definition
name one of the major gods of hinduism  ,Medium,Remembering,Human,Individual
